region,index,units,mean,trend_per_decade,p,p_raw,sig05,sig10
Central,txm,°C,26.600794666666665,0.07815862068965482,0.24438508860111674,0.24438508860111674,False,False
Copperbelt,txm,°C,27.01089955555556,0.09160794912559558,0.11526718248722845,0.11526718248722845,False,False
Eastern,txm,°C,28.42948488888889,0.07640590909091012,0.2689853799452133,0.2689853799452133,False,False
Luapula,txm,°C,27.07643177777778,0.07836777777777866,0.01568202356807058,0.01568202356807058,True,True
Lusaka,txm,°C,27.42128866666667,0.11157592592592594,0.12945373223732348,0.12945373223732348,False,False
Muchinga,txm,°C,26.733583777777778,0.061512499999999484,0.3155457138785531,0.28630031706882564,False,False
North-Western,txm,°C,27.591827999999996,0.14020874999998467,0.004154058587343634,0.004154058587343634,True,True
Northern,txm,°C,26.68073333333333,0.110147083333334,0.005980805864951977,0.005980805864951977,True,True
Southern,txm,°C,27.414188444444452,0.0822960526315792,0.3947350133030303,0.3947350133030303,False,False
Western,txm,°C,28.556311777777783,0.12381307471264306,0.049270169805609054,0.049270169805609054,True,True
Zambia,txm,°C,27.456489777777772,0.11312866300366263,0.03901113018279423,0.03901113018279423,True,True
Central,txx,°C,35.207215777777776,0.2757841666666672,0.005304090712932252,0.005304090712932252,True,True
Copperbelt,txx,°C,34.89115888888889,0.2659407142857125,0.002347766493300041,0.002347766493300041,True,True
Eastern,txx,°C,37.18540688888889,0.242388368983957,0.02265039618709097,0.02265039618709097,True,True
Luapula,txx,°C,33.894108222222215,0.3019148571428565,0.0008196039682195622,6.850934954338861e-05,True,True
Lusaka,txx,°C,37.06770466666667,0.34159102564102545,0.016544891610385193,0.016544891610385193,True,True
Muchinga,txx,°C,34.56364111111111,0.2652205949656743,0.003668438435431298,0.003668438435431298,True,True
North-Western,txx,°C,35.07728044444445,0.42627916666666543,7.1194834183607725e-06,7.1194834183607725e-06,True,True
Northern,txx,°C,33.25122644444445,0.3619739316239312,2.7093370714270648e-05,2.7093370714270648e-05,True,True
Southern,txx,°C,36.341262,0.33161228070175136,0.013326344910244536,0.013326344910244536,True,True
Western,txx,°C,36.84119977777778,0.4630066666666674,0.00030657971139680384,0.00030657971139680384,True,True
Zambia,txx,°C,35.471501333333336,0.34808081395348717,3.815838701526353e-05,3.815838701526353e-05,True,True
Central,tx90p,% of days,10.56010071111111,0.26820759375000014,0.7173925102141454,0.7173925102141454,False,False
Copperbelt,tx90p,% of days,9.852459,0.46599285714285665,0.42814619037210333,0.42814619037210333,False,False
Eastern,tx90p,% of days,9.932481022222223,0.3970190211640211,0.617851026234554,0.617851026234554,False,False
Luapula,tx90p,% of days,9.230608577777778,1.1450848573975043,0.02508110691139831,0.02508110691139831,True,True
Lusaka,tx90p,% of days,10.702356844444445,0.3124407142857152,0.645682015976444,0.645682015976444,False,False
Muchinga,tx90p,% of days,9.498312333333333,0.8022070855614973,0.1396407171348688,0.1396407171348688,False,False
North-Western,tx90p,% of days,9.570455377777778,1.1457055723905722,0.05157291501015138,0.05157291501015138,False,True
Northern,tx90p,% of days,8.827376162222222,1.429391607142857,0.0019287131011707093,0.0019287131011707093,True,True
Southern,tx90p,% of days,10.857468933333333,0.042833179723501986,0.8988057249271526,0.8988057249271526,False,False
Western,tx90p,% of days,10.173458466666668,0.7300188511904762,0.26060311479826614,0.26060311479826614,False,False
Zambia,tx90p,% of days,9.915051955555555,0.7235804687499997,0.18663038001542054,0.18663038001542054,False,False
Central,su35,days,4.947437831111111,1.1141263362068967,0.0030362596731914326,0.0030362596731914326,True,True
Copperbelt,su35,days,2.070167256,0.6349048285714287,0.0003688977054163711,0.0003688977054163711,True,True
Eastern,su35,days,22.316459422222223,2.9462863461538458,0.005980805864951977,0.005980805864951977,True,True
Luapula,su35,days,0.7451581904444444,0.18182356250000004,5.1088420577327653e-05,5.1088420577327653e-05,True,True
Lusaka,su35,days,15.365429466666665,2.577754770531401,0.007572183789693376,0.007572183789693376,True,True
Muchinga,su35,days,7.635103244444443,0.9936759090909092,0.006734356731071145,0.006734356731071145,True,True
North-Western,su35,days,4.2392651508888886,1.4956519077850876,3.534315736519744e-06,3.534315736519744e-06,True,True
Northern,su35,days,0.22542693957777776,0.05327922963141024,0.0002736497329056675,0.0002736497329056675,True,True
Southern,su35,days,11.020311133333331,2.603090599078341,0.0007926873387762434,0.0007926873387762434,True,True
Western,su35,days,16.56716302222222,5.110386470588234,6.493484842717834e-06,6.493484842717834e-06,True,True
Zambia,su35,days,8.78562082222222,2.1182077842105262,3.815838701526353e-05,3.815838701526353e-05,True,True
Central,wsdi,days,10.457535135555556,-0.4534802430555554,0.6382198504094312,0.6382198504094312,False,False
Copperbelt,wsdi,days,7.394654764444445,0.0,0.8748809855353659,0.8748809855353659,False,False
Eastern,wsdi,days,9.312554558000002,0.0,0.9765781632923287,0.9765781632923287,False,False
Luapula,wsdi,days,4.426619757777777,0.11702592943548387,0.7294126324209225,0.6664634511907264,False,False
Lusaka,wsdi,days,11.525283264444445,-0.22406010576923083,0.4908893689125473,0.4908893689125473,False,False
Muchinga,wsdi,days,5.994726850444444,0.09438937500000005,0.7025985399620875,0.7025985399620875,False,False
North-Western,wsdi,days,7.570636353777778,0.09624587936507938,0.8141353103209865,0.8141353103209865,False,False
Northern,wsdi,days,4.294233246888889,0.7139418333333334,0.09968831041876514,0.04270774712902159,False,True
Southern,wsdi,days,14.433445830888889,-0.37005872126436773,0.5567091731592135,0.5567091731592135,False,False
Western,wsdi,days,11.560253313777778,-0.028925986363636365,0.824466427684206,0.7838717333024199,False,False
Zambia,wsdi,days,8.969306398222223,-0.18555318452380967,0.8067986923806505,0.8067986923806505,False,False
