region,index,units,mean,trend_per_decade,p,p_raw,sig05,sig10
Central,txm,°C,27.746251999999995,0.04087962962962778,0.5377056815207679,0.5377056815207679,False,False
Copperbelt,txm,°C,27.567397777777778,0.05342294372294407,0.37336328368191696,0.37336328368191696,False,False
Eastern,txm,°C,29.451641111111115,0.08104743083003949,0.23654740531738194,0.23654740531738194,False,False
Luapula,txm,°C,27.13893911111111,0.10568928571428644,0.040903700737468185,0.040903700737468185,True,True
Lusaka,txm,°C,28.909017777777773,0.06782828282828254,0.3839581447948015,0.3839581447948015,False,False
Muchinga,txm,°C,27.65348066666666,0.06724526315789375,0.12458150214529295,0.12458150214529295,False,False
North-Western,txm,°C,27.62927977777778,0.13490208333332881,0.020958128088285344,0.020958128088285344,True,True
Northern,txm,°C,26.852713111111118,0.12477070707070666,0.021513734308572063,0.021513734308572063,True,True
Southern,txm,°C,28.792701555555556,-0.03381904761904764,0.7028245031974558,0.7028245031974558,False,False
Western,txm,°C,29.251646222222224,0.0742940000000012,0.26060311479826614,0.26060311479826614,False,False
Zambia,txm,°C,28.146260000000005,0.077802182539682,0.1678000926067338,0.1678000926067338,False,False
Central,txx,°C,35.16539755555555,0.2531483516483508,0.010089403008295639,0.010089403008295639,True,True
Copperbelt,txx,°C,34.82400911111111,0.23487656249999975,0.005633287643966867,0.005633287643966867,True,True
Eastern,txx,°C,37.18032711111111,0.23739523809523772,0.023838891030700138,0.023838891030700138,True,True
Luapula,txx,°C,33.62645333333333,0.35281974789916004,0.001018524762690376,8.755843681540476e-05,True,True
Lusaka,txx,°C,37.04738866666666,0.3165355436081249,0.02265039618709097,0.02265039618709097,True,True
Muchinga,txx,°C,34.54677377777777,0.26493967391304235,0.004154058587343634,0.004154058587343634,True,True
North-Western,txx,°C,34.82059044444445,0.43125476190476186,1.7513611840325183e-05,1.7513611840325183e-05,True,True
Northern,txx,°C,33.04340777777778,0.3839592307692321,2.277957259488872e-05,2.277957259488872e-05,True,True
Southern,txx,°C,36.301975111111105,0.30271111111110865,0.016544891610385193,0.016544891610385193,True,True
Western,txx,°C,36.731938,0.43830208333333065,0.0005956351156302109,0.0005956351156302109,True,True
Zambia,txx,°C,35.35530400000001,0.3579388461538468,0.00017922723448315914,0.00017922723448315914,True,True
Central,tx90p,% of days,10.706913037777777,0.040670349999999966,0.9609897454175274,0.9609897454175274,False,False
Copperbelt,tx90p,% of days,10.520738535555553,0.42990586363636274,0.617851026234554,0.617851026234554,False,False
Eastern,tx90p,% of days,10.091840846666667,0.3614961574074074,0.645682015976444,0.645682015976444,False,False
Luapula,tx90p,% of days,9.627931062222222,1.5298643055555554,0.0174491817231881,0.0174491817231881,True,True
Lusaka,tx90p,% of days,10.501374788888889,0.03481605263157787,0.9765878749221901,0.9765878749221901,False,False
Muchinga,tx90p,% of days,9.755262988888889,0.9477823395721924,0.24438508860111674,0.24438508860111674,False,False
North-Western,tx90p,% of days,10.584393444444443,1.2580691611842107,0.12945373223732348,0.12945373223732348,False,False
Northern,tx90p,% of days,9.154847588888888,1.6955178571428575,0.002347766493300041,0.002347766493300041,True,True
Southern,tx90p,% of days,10.834031322222225,-0.5905449999999997,0.4513065347609777,0.4513065347609777,False,False
Western,tx90p,% of days,10.726270057777779,0.4973910526315787,0.514306632107242,0.4056928208369328,False,False
Zambia,tx90p,% of days,10.317365311111113,0.5664188095238099,0.46314745925028333,0.46314745925028333,False,False
Central,su35,days,4.4493235533333335,0.9577220779220776,0.005633287643966867,0.005633287643966867,True,True
Copperbelt,su35,days,1.8206658159999998,0.45412036363636366,0.0014698405410911164,0.0014698405410911164,True,True
Eastern,su35,days,19.37448271111111,2.420944761904762,0.010674264268186962,0.010674264268186962,True,True
Luapula,su35,days,0.6194971451111111,0.14076438946488296,0.0012269034456677819,0.0012269034456677819,True,True
Lusaka,su35,days,13.656758644444444,2.0061239215686273,0.011935142018624667,0.011935142018624667,True,True
Muchinga,su35,days,6.702707222222222,0.829793124999999,0.006734356731071145,0.006734356731071145,True,True
North-Western,su35,days,2.9656054284444444,0.9088884423076924,1.8240416480796995e-05,1.8240416480796995e-05,True,True
Northern,su35,days,0.19456246193333332,0.018262874005681818,0.006127014929225405,0.006127014929225405,True,True
Southern,su35,days,9.60086828888889,2.0385115476190476,0.0012039281829079318,0.0012039281829079318,True,True
Western,su35,days,12.602618628888887,3.6178994444444443,4.9143654848426976e-05,4.9143654848426976e-05,True,True
Zambia,su35,days,7.234299133333332,1.5772533030303029,0.0006400962197103954,0.0006400962197103954,True,True
