region,index,year,value
Zambia,txm,1981,27.05758
Zambia,txm,1982,27.01066
Zambia,txm,1983,27.9419
Zambia,txm,1984,27.13753
Zambia,txm,1985,26.59529
Zambia,txm,1986,26.46439
Zambia,txm,1987,28.0189
Zambia,txm,1988,27.22035
Zambia,txm,1989,26.82973
Zambia,txm,1990,27.52738
Zambia,txm,1991,27.22239
Zambia,txm,1992,27.97068
Zambia,txm,1993,27.13448
Zambia,txm,1994,27.63951
Zambia,txm,1995,28.19351
Zambia,txm,1996,27.78028
Zambia,txm,1997,27.3891
Zambia,txm,1998,28.1497
Zambia,txm,1999,27.18151
Zambia,txm,2000,27.05065
Zambia,txm,2001,27.11645
Zambia,txm,2002,27.4818
Zambia,txm,2003,27.49924
Zambia,txm,2004,27.05363
Zambia,txm,2005,28.33502
Zambia,txm,2006,27.09157
Zambia,txm,2007,27.30537
Zambia,txm,2008,27.18377
Zambia,txm,2009,26.98767
Zambia,txm,2010,27.37524
Zambia,txm,2011,27.25191
Zambia,txm,2012,27.38169
Zambia,txm,2013,27.6471
Zambia,txm,2014,27.64284
Zambia,txm,2015,27.93098
Zambia,txm,2016,28.0021
Zambia,txm,2017,27.20957
Zambia,txm,2018,27.65005
Zambia,txm,2019,28.18266
Zambia,txm,2020,27.45288
Zambia,txm,2021,27.4515
Zambia,txm,2022,26.90772
Zambia,txm,2023,28.10877
Zambia,txm,2024,28.47872
Zambia,txm,2025,27.29827
Zambia,txx,1981,35.22223
Zambia,txx,1982,33.96084
Zambia,txx,1983,35.31586
Zambia,txx,1984,34.61517
Zambia,txx,1985,33.63382
Zambia,txx,1986,34.17304
Zambia,txx,1987,35.80985
Zambia,txx,1988,34.10275
Zambia,txx,1989,35.00648
Zambia,txx,1990,35.59922
Zambia,txx,1991,34.2796
Zambia,txx,1992,35.34682
Zambia,txx,1993,35.12997
Zambia,txx,1994,35.33463
Zambia,txx,1995,35.96555
Zambia,txx,1996,35.6095
Zambia,txx,1997,35.74536
Zambia,txx,1998,36.36498
Zambia,txx,1999,35.66509
Zambia,txx,2000,34.83445
Zambia,txx,2001,34.76415
Zambia,txx,2002,35.16064
Zambia,txx,2003,36.35138
Zambia,txx,2004,35.34304
Zambia,txx,2005,35.79164
Zambia,txx,2006,34.92794
Zambia,txx,2007,34.98666
Zambia,txx,2008,35.82537
Zambia,txx,2009,34.66114
Zambia,txx,2010,36.12138
Zambia,txx,2011,36.36526
Zambia,txx,2012,35.50879
Zambia,txx,2013,36.21306
Zambia,txx,2014,35.9949
Zambia,txx,2015,35.86954
Zambia,txx,2016,36.44711
Zambia,txx,2017,36.68873
Zambia,txx,2018,35.24691
Zambia,txx,2019,36.70361
Zambia,txx,2020,36.24555
Zambia,txx,2021,36.01037
Zambia,txx,2022,34.91151
Zambia,txx,2023,36.61977
Zambia,txx,2024,36.28661
Zambia,txx,2025,35.45729
Zambia,tx90p,1981,6.09464
Zambia,tx90p,1982,7.974419
Zambia,tx90p,1983,16.75729
Zambia,tx90p,1984,6.25104
Zambia,tx90p,1985,2.788459
Zambia,tx90p,1986,2.550536
Zambia,tx90p,1987,16.10229
Zambia,tx90p,1988,7.220895
Zambia,tx90p,1989,4.910576
Zambia,tx90p,1990,9.617477
Zambia,tx90p,1991,5.279673
Zambia,tx90p,1992,16.3897
Zambia,tx90p,1993,5.691962
Zambia,tx90p,1994,14.4837
Zambia,tx90p,1995,16.26198
Zambia,tx90p,1996,10.22511
Zambia,tx90p,1997,10.59394
Zambia,tx90p,1998,16.72842
Zambia,tx90p,1999,7.480114
Zambia,tx90p,2000,4.761476
Zambia,tx90p,2001,6.034978
Zambia,tx90p,2002,10.42195
Zambia,tx90p,2003,9.014526
Zambia,tx90p,2004,4.548642
Zambia,tx90p,2005,19.32109
Zambia,tx90p,2006,5.119487
Zambia,tx90p,2007,7.668576
Zambia,tx90p,2008,7.298033
Zambia,tx90p,2009,5.019551
Zambia,tx90p,2010,7.107537
Zambia,tx90p,2011,6.098908
Zambia,tx90p,2012,5.429455
Zambia,tx90p,2013,10.72034
Zambia,tx90p,2014,10.27607
Zambia,tx90p,2015,13.5348
Zambia,tx90p,2016,16.82725
Zambia,tx90p,2017,5.0469
Zambia,tx90p,2018,10.22683
Zambia,tx90p,2019,18.87632
Zambia,tx90p,2020,9.914915
Zambia,tx90p,2021,9.862568
Zambia,tx90p,2022,2.88588
Zambia,tx90p,2023,19.66887
Zambia,tx90p,2024,28.24062
Zambia,tx90p,2025,8.849545
Zambia,su35,1981,6.560699
Zambia,su35,1982,2.100618
