region,index,season_start_year,value
Zambia,txm,1981,28.47132
Zambia,txm,1982,28.03897
Zambia,txm,1983,27.91487
Zambia,txm,1984,27.45749
Zambia,txm,1985,27.26335
Zambia,txm,1986,27.67661
Zambia,txm,1987,28.47822
Zambia,txm,1988,27.2902
Zambia,txm,1989,28.16084
Zambia,txm,1990,28.58131
Zambia,txm,1991,28.30754
Zambia,txm,1992,27.73264
Zambia,txm,1993,28.34404
Zambia,txm,1994,28.47295
Zambia,txm,1995,28.44788
Zambia,txm,1996,28.34165
Zambia,txm,1997,28.16503
Zambia,txm,1998,28.35606
Zambia,txm,1999,28.07974
Zambia,txm,2000,27.32053
Zambia,txm,2001,28.05576
Zambia,txm,2002,28.12806
Zambia,txm,2003,28.38503
Zambia,txm,2004,28.34665
Zambia,txm,2005,28.30086
Zambia,txm,2006,27.84263
Zambia,txm,2007,27.42873
Zambia,txm,2008,27.67147
Zambia,txm,2009,27.78356
Zambia,txm,2010,28.10183
Zambia,txm,2011,27.80769
Zambia,txm,2012,28.02595
Zambia,txm,2013,28.02752
Zambia,txm,2014,28.72452
Zambia,txm,2015,28.94089
Zambia,txm,2016,28.50575
Zambia,txm,2017,27.92307
Zambia,txm,2018,28.84677
Zambia,txm,2019,28.5033
Zambia,txm,2020,27.89065
Zambia,txm,2021,28.56057
Zambia,txm,2022,27.80319
Zambia,txm,2023,29.52709
Zambia,txm,2024,28.72645
Zambia,txm,2025,27.82247
Zambia,txx,1981,35.15011
Zambia,txx,1982,33.78034
Zambia,txx,1983,35.15008
Zambia,txx,1984,34.52931
Zambia,txx,1985,33.6034
Zambia,txx,1986,33.66842
Zambia,txx,1987,35.62018
Zambia,txx,1988,34.05009
Zambia,txx,1989,34.91032
Zambia,txx,1990,35.59922
Zambia,txx,1991,34.27698
Zambia,txx,1992,35.24973
Zambia,txx,1993,35.12997
Zambia,txx,1994,34.98991
Zambia,txx,1995,35.92635
Zambia,txx,1996,35.58618
Zambia,txx,1997,35.45934
Zambia,txx,1998,36.3608
Zambia,txx,1999,35.60971
Zambia,txx,2000,34.81236
Zambia,txx,2001,34.51524
Zambia,txx,2002,34.99232
Zambia,txx,2003,36.35138
Zambia,txx,2004,35.3414
Zambia,txx,2005,35.77597
Zambia,txx,2006,34.92749
Zambia,txx,2007,34.61404
Zambia,txx,2008,35.42349
Zambia,txx,2009,34.32386
Zambia,txx,2010,36.12066
Zambia,txx,2011,36.31586
Zambia,txx,2012,35.49399
Zambia,txx,2013,35.65702
Zambia,txx,2014,35.98299
Zambia,txx,2015,35.80923
Zambia,txx,2016,36.43762
Zambia,txx,2017,36.67421
Zambia,txx,2018,35.1243
Zambia,txx,2019,36.63855
Zambia,txx,2020,36.23635
Zambia,txx,2021,36.00827
Zambia,txx,2022,34.90875
Zambia,txx,2023,36.61899
Zambia,txx,2024,35.8412
Zambia,txx,2025,35.3927
Zambia,tx90p,1981,13.72503
Zambia,tx90p,1982,15.36701
Zambia,tx90p,1983,6.587954
Zambia,tx90p,1984,3.418504
Zambia,tx90p,1985,1.822959
Zambia,tx90p,1986,10.38825
